<<<<<<< HEAD
3x3 matica pre kazdy riadok ci je okej vzhladom na dependenciu,,can,can,cannot,can,can,can,can,cannot,must,can,must,can,must,can,can,can,can,cannot,can,can,can,can,can,can,can,cannot
=======
,,can,can,cannot,can,,can,,cannot,must,can,must,can,must,can,can,can,can,,can,can,,can,can,can,can,cannot
>>>>>>> 350989f6360e7180d266e57368f0cd2f727633a3
,Change License,Commercial Use (Competitive),Commercial Use (Non-Competitive),Compensate for Damages,Contact Author,Disclose Source,Distribute,Give Credit,Hold Liable,Include Copyright,Include Install Instructions,Include License,Include Notice,Include Original,Modify,Pay Above Use Threshold,Place Warranty,Private Use,Relicense,Rename,State Changes,Statically Link,Sublicense,Use in Production,Use Internally,Use Patent Claims,Use Trademark
4-Clause BSD,, can, can, , , , can, must, cannot, must, , must, , , can, , can, , , , , , , , , , cannot
Academic Free License 3.0 (AFL),, can, can, , , must, can, , cannot, must, , , , must, can, , , , , , must, , can, , , , cannot
Academy of Motion Picture Arts and Sciences BSD,, can, can, , , , can, , cannot, must, , , , , can, , , can, , , , , , , , , cannot
Adaptive Public License 1.0 (APL-1.0),, can, can, , , must, can, must, cannot, , , must, must, , can, , can, can, , , must, , , , , , cannot
Adobe Systems Incorporated Source Code License Agreement,, can, can, cannot, , , can, , cannot, , , , , , can, , , can, , , , , , , , , cannot
Amazon Digital Services License,, can, can, , , , can, , cannot, must, , , , , can, , , can, , , , , , , , , 
Android SDK License Agreement (June 2014),, , , , , , , , , , , , , , , , , , , , , , , , , , 
Apache License 1.0 (Apache-1.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , can, , , , cannot
Apache License 2.0 (Apache-2.0),,can,can, , , , can, , cannot, must, , must, must, , can, , can, can, , , must, , can, , , can, cannot
Apple MIT License (AML),,can,can, , , , can, , cannot, must, , must, , , can, , , can, , , , , can, , , , cannot
Apple Public Source License 2.0 (APSL),,can,can, , , must, can, , cannot, must, , must, , , can, , can, , , , must, , can, , , , cannot
Apple Website Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Artistic License 2.0 (Artistic-2.0),,can,can, , , , can, , cannot, , must, , , must, can, , , can, , must, must, , can, , , , cannot
Attribution Assurance License (AAL),,can,can, , , , can, must, cannot, , , must, , , can, , , , , , , , , , , , cannot
BSD 0-Clause License (0BSD),,can,can, , , , can, , cannot, can, , can, , can, can, , , can, , , , , can, , , , 
BSD 2-Clause License (FreeBSD/Simplified),,can,can, , , , can, , cannot, must, , must, , , can, , can, , , , , , , , , , 
BSD 3-Clause License (Revised),,can,can, , , , can, , cannot, must, , must, , , can, , can, , , , , , can, , , , cannot
Beerware License,,can,can, , , , can, , , must, , can, , , can, , can, , , can, , can, can, , , , 
BitTorrent Open Source License v1.1 (BitTorrent-1.1),,can,can, , , must, can, must, cannot, , , must, must, , can, , can, , , , must, , can, , , , cannot
Boost Software License 1.0 (BSL-1.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , , , , , , , , , 
Business Source License (BSL-1.1),, , , , , , , , cannot, , , must, , , , , , , , , , , , cannot, can, , 
CUA Office Public License v1.0 (CUA-OPL-1.0),,can,can, , , must, can, must, cannot, must, , must, must, , can, , can, , , , must, , can, , , , cannot
CeCILL Free Software License Agreement v1.0 (CECILL-1.0),,can,can, , , must, can, , can, must, , must, must, , can, , , , , , must, , , , , , 
CeCILL Free Software License Agreement v1.1 (CECILL-1.1),,can,can, , , must, can, , can, must, , must, must, , can, , , , , , must, , , , , , 
CeCILL Free Software License Agreement v2.0 (CECILL-2.0),,can,can, , , must, can, , can, must, , must, must, , can, , , , , , must, , , , , , 
Common Development and Distribution License (CDDL-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , can, , , , , , can, , , can, cannot
Common Public Attribution License Version 1.0 (CPAL-1.0),,can,can, , , must, can, , cannot, must, , must, must, , can, , can, , , , must, , can, , , can, cannot
Common Public License 1.0 (CPL-1.0),,can,can, , , must, can, , cannot, must, , must, , , can, , , , , , , , can, , , can, 
Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),,can,can, , , must, can, must, cannot, must, , must, must, , can, , , , , , must, , can, , , , cannot
Creative Commons Attribution 3.0 Unported (CC-BY),,can,can, , , , can, , cannot, must, , , , , can, , cannot, , , , , , cannot, , , , 
Creative Commons Attribution 4.0 International (CC BY 4.0),,can,can, , , , can, must, , must, , , , , can, , , , , , must, , cannot, , , , 
Creative Commons Attribution NoDerivs (CC-ND),,can,can, , , , can, , cannot, must, , , , , cannot, , cannot, , , , , , cannot, , , , 
Creative Commons Attribution NonCommercial (CC-BY-NC),,cannot,cannot, , , , can, must, cannot, must, , , , , can, , cannot, , , , must, , cannot, , , , 
Creative Commons Attribution NonCommercial NoDerivs (CC-NC-ND),,cannot,cannot, , , , can, , cannot, must, , , , , cannot, , cannot, , , , , , cannot, , , , 
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),,cannot,cannot, , , , can, , cannot, must, , , , , can, , cannot, , , , , , cannot, , , , 
Creative Commons Attribution Share Alike (CC-SA),,can,can, , , , can, , cannot, must, , , , , can, , cannot, , , , , , cannot, , , , 
Creative Commons Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0),,can,can, , , , can, must, , must, , , , , cannot, , , , , , must, , cannot, , , , 
Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),, , , , , , , , , , , , , , , , , , , , , , , , , , 
Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),,cannot,cannot, , , , can, must, , must, , , , , can, , , , , , must, , cannot, , , , 
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0),,cannot,cannot, , , , can, must, cannot, must, , , , , can, , cannot, , , can, must, , cannot, , , , 
Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),,can,can, , , , can, must, , must, , , , , can, , , , , , must, , cannot, , , , 
Creative Commons CC0 1.0 Universal (CC-0),,can,can, , , , can, , cannot, , , , , , can, , , can, , , , , , , , cannot, cannot
Cube License,,can,can, cannot, , , can, , cannot, must, , , , , can, , , can, cannot, , , , , , , , 
Do What The F*ck You Want To Public License v2 (WTFPL-2.0),,can,can, , , , can, , cannot, can, , can, , can, can, , , can, , must, , , can, , , , 
Doom Source Licence,,cannot,cannot, , , , cannot, , cannot, , , , , , can, , , , , , , , , , , , 
Dropbox Terms of Service,, , , , , , , , , , , , , , , , , , , , , , , , , , 
EU DataGrid Software License (EUDatagrid),,can,can, , , , can, , cannot, , , must, must, , can, , , , , , , , can, , , , cannot
Eclipse Public License 1.0 (EPL-1.0),,can,can, must, , must, can, , cannot, must, must, must, , must, can, , , can, can, , , , can, , , can, cannot
Educational Community License Version 2.0 (ECL-2.0),,can,can, , , , can, , cannot, must, , must, must, , can, , can, can, , , must, , can, , , , cannot
Eiffel Forum License v2.0 (EFL-2.0),,can,can, , , , can, , cannot, must, , must, , , can, , , , can, , , , can, , , , 
